City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Punta Arenas,CL,50.11,broken clouds,-53.15,-70.9167,Hotel Hain
3,Atuona,PF,78.19,light rain,-9.8,-139.0333,Villa Enata
4,Rikitea,PF,77.11,overcast clouds,-23.1203,-134.9692,People ThankYou
5,Lundazi,ZM,62.24,broken clouds,-12.2929,33.1782,Knox Lodge
6,Banda Aceh,ID,76.42,broken clouds,5.5577,95.3222,Sulthan Hotel International
7,Hermanus,ZA,70.9,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
8,Puerto Ayora,EC,74.64,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
9,Sechura,PE,74.41,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
10,Saldanha,ZA,68.05,broken clouds,-33.0117,17.9442,Blue Bay Lodge
13,Bubaque,GW,77.99,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
14,Hilo,US,78.24,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
15,Ribeira Grande,PT,59.74,broken clouds,38.5167,-28.7,Quinta da Meia Eira
17,Pimentel,PE,73.69,clear sky,-6.8367,-79.9342,Casona Del Muelle
18,Vaitape,PF,81.03,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
19,Goya,AR,77.9,clear sky,-29.14,-59.2626,Apart Costanera Goya
20,Avarua,CK,73.45,moderate rain,-21.2078,-159.775,Paradise Inn
21,Hoi An,VN,69.76,overcast clouds,15.8794,108.335,Belle Maison Hadana Hoi An managed by H&K Hospitality
24,Eureka,US,57.67,overcast clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
25,Dwarka,IN,69.73,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
27,Hobart,AU,80.02,few clouds,-42.8794,147.3294,Mantra on Collins Hobart
28,Rio Grande,BR,73.94,few clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
29,Mildura,AU,85.96,clear sky,-34.2,142.15,Mercure Hotel Mildura
30,Christchurch,NZ,72.48,few clouds,-43.5333,172.6333,The George
32,Vaini,TO,80.83,overcast clouds,-21.2,-175.2,Keleti Beach Resort
34,New Norfolk,AU,79.66,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
35,Mecca,SA,67.77,overcast clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
37,Aquin,HT,75.36,scattered clouds,18.2833,-73.4,Asheev Beach
38,Victoria,HK,59.25,overcast clouds,22.2855,114.1577,Mini Hotel Central
41,Busselton,AU,66.09,overcast clouds,-33.65,115.3333,Observatory Guest House
42,Sawtell,AU,83.19,scattered clouds,-30.3833,153.1,The Bungalow Sawtell
47,Grand Island,US,54.55,clear sky,40.925,-98.342,Fairfield Inn & Suites by Marriott Grand Island
48,Mataura,NZ,71.47,scattered clouds,-46.1927,168.8643,Ellie's Villa
50,Fortuna,US,59.18,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
52,Moron,AR,81.99,clear sky,-34.6534,-58.6198,Hotel Morón
53,Bambous Virieux,MU,79.05,light rain,-20.3428,57.7575,Casa Tia Villa
54,Harnai,PK,53.49,clear sky,30.1005,67.9374,Shah g hotel and restaurant
56,Maldonado,UY,76.39,clear sky,-34.6667,-54.9167,La Cimarrona
61,Kampot,KH,75.25,broken clouds,10.6167,104.1833,Two Moons Hotel
62,Saint George,US,63.07,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
64,Sambava,MG,75.38,broken clouds,-14.2667,50.1667,Melrose
65,Samarai,PG,83.7,overcast clouds,-10.6167,150.6667,Nuli Sapi
66,Constitucion,CL,59.83,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
71,Black River,JM,73.4,broken clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
72,Port Alfred,ZA,73.15,overcast clouds,-33.5906,26.891,The Halyards Hotel
74,Guerrero Negro,MX,63.59,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
75,Sao Filipe,CV,71.4,overcast clouds,14.8961,-24.4956,Hotel Xaguate
76,Sidi Ali,DZ,51.39,clear sky,36.0998,0.4206,
77,Pandamatenga,BW,66.11,light rain,-18.5278,25.627,Wildtrack Safaris Eco Lodge
79,Dingle,PH,78.4,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
80,Pisco,PE,73.45,broken clouds,-13.7,-76.2167,Hotel San Isidro Oficial
81,Ahipara,NZ,75.9,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
82,Caravelas,BR,79.41,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
83,Coquimbo,CL,64.13,clear sky,-29.9533,-71.3436,Hostel Del Puerto
84,Quatre Cocos,MU,78.91,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
86,Contamana,PE,72.63,overcast clouds,-7.3333,-75.0167,Shiringal Touristic Park
89,Olinda,BR,83.93,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
91,Buala,SB,85.28,light rain,-8.145,159.5921,Maringe Lagoon Lodge
92,Vanimo,PG,76.8,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
93,Georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
94,Bull Savanna,JM,70.07,broken clouds,17.8868,-77.5902,Big Red's
95,Zemio,CF,67.48,overcast clouds,5.0314,25.1361,OCHA Office
96,Arraial Do Cabo,BR,74.23,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
98,Sao Joao Da Barra,BR,75.58,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
100,Faranah,GN,75.88,clear sky,10.0404,-10.7434,Chez mon oncle
104,Moerai,PF,80.35,scattered clouds,-22.4333,-151.3333,Le Manotel
105,Marsala,IT,55.99,scattered clouds,37.7966,12.4352,Villa Favorita Hotel e Resort
107,Beloha,MG,72.25,broken clouds,-25.1667,45.05,
108,Meiktila,MM,55.62,clear sky,20.8667,95.8667,The Floral Breeze Wunzin Hotel
109,Trelew,AR,61.03,broken clouds,-43.249,-65.3051,Hotel Touring Club
111,Sinnamary,GF,76.26,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
112,Yenagoa,NG,73.78,broken clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
113,Manzanillo,CU,68.18,overcast clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
115,Port Elizabeth,ZA,70.09,few clouds,-33.918,25.5701,39 On Nile Guest House
116,Cabo San Lucas,MX,77.61,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
120,Geraldton,AU,73.81,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
121,Salalah,OM,68.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
122,Comodoro Rivadavia,AR,60.66,few clouds,-45.8667,-67.5,Austral Hotel
