City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Nanortalik,GL,60.1432,-45.2371,19.22,74,100,20.92,light snow
1,Ushuaia,AR,-54.8,-68.3,44.26,70,40,28.77,scattered clouds
2,Punta Arenas,CL,-53.15,-70.9167,50.11,57,75,26.46,broken clouds
3,Atuona,PF,-9.8,-139.0333,78.19,78,14,15.01,light rain
4,Rikitea,PF,-23.1203,-134.9692,77.11,71,100,5.77,overcast clouds
5,Lundazi,ZM,-12.2929,33.1782,62.24,98,63,2.64,broken clouds
6,Banda Aceh,ID,5.5577,95.3222,76.42,81,64,7.09,broken clouds
7,Hermanus,ZA,-34.4187,19.2345,70.9,85,96,13.49,overcast clouds
8,Puerto Ayora,EC,-0.7393,-90.3518,74.64,78,100,7.67,overcast clouds
9,Sechura,PE,-5.5569,-80.8222,74.41,69,84,15.28,broken clouds
10,Saldanha,ZA,-33.0117,17.9442,68.05,92,66,6.08,broken clouds
11,Jamestown,US,42.097,-79.2353,18.72,85,100,0.0,overcast clouds
12,Severo-Kurilsk,RU,50.6789,156.125,28.36,95,100,7.45,snow
13,Bubaque,GW,11.2833,-15.8333,77.99,72,58,12.17,broken clouds
14,Hilo,US,19.7297,-155.09,78.24,63,20,8.05,few clouds
15,Ribeira Grande,PT,38.5167,-28.7,59.74,71,63,23.22,broken clouds
16,Barrow,US,71.2906,-156.7887,-5.78,77,75,10.36,light snow
17,Pimentel,PE,-6.8367,-79.9342,73.69,60,0,16.11,clear sky
18,Vaitape,PF,-16.5167,-151.75,81.03,71,18,11.74,few clouds
19,Goya,AR,-29.14,-59.2626,77.9,35,0,5.55,clear sky
20,Avarua,CK,-21.2078,-159.775,73.45,94,40,8.05,moderate rain
21,Hoi An,VN,15.8794,108.335,69.76,93,100,5.35,overcast clouds
22,Port Hardy,CA,50.6996,-127.4199,41.18,87,75,8.05,broken clouds
23,Albany,US,42.6001,-73.9662,16.21,49,23,3.83,few clouds
24,Eureka,US,40.8021,-124.1637,57.67,78,89,2.37,overcast clouds
25,Dwarka,IN,22.2394,68.9678,69.73,83,0,9.17,clear sky
26,Haines Junction,CA,60.7522,-137.5108,10.35,52,93,12.66,overcast clouds
27,Hobart,AU,-42.8794,147.3294,80.02,61,20,1.01,few clouds
28,Rio Grande,BR,-32.035,-52.0986,73.94,77,14,21.18,few clouds
29,Mildura,AU,-34.2,142.15,85.96,30,3,5.75,clear sky
30,Christchurch,NZ,-43.5333,172.6333,72.48,60,21,7.0,few clouds
31,Narsaq,GL,60.9167,-46.05,19.62,83,100,19.66,snow
32,Vaini,TO,-21.2,-175.2,80.83,73,100,10.65,overcast clouds
33,Sitka,US,57.0531,-135.33,39.09,75,75,5.75,broken clouds
34,New Norfolk,AU,-42.7826,147.0587,79.66,32,3,2.73,clear sky
35,Mecca,SA,21.4267,39.8261,67.77,60,99,4.54,overcast clouds
36,Jiayuguan,CN,39.8167,98.3,14.85,46,100,4.61,overcast clouds
37,Aquin,HT,18.2833,-73.4,75.36,80,30,5.95,scattered clouds
38,Victoria,HK,22.2855,114.1577,59.25,77,90,1.99,overcast clouds
39,Dikson,RU,73.5069,80.5464,-5.21,94,100,22.3,overcast clouds
40,Torbay,CA,47.6666,-52.7314,36.75,82,75,23.02,broken clouds
41,Busselton,AU,-33.65,115.3333,66.09,57,93,19.69,overcast clouds
42,Sawtell,AU,-30.3833,153.1,83.19,74,40,11.5,scattered clouds
43,Yar-Sale,RU,66.8333,70.8333,-5.6,98,89,7.85,overcast clouds
44,Disna,BY,55.568,28.1971,24.35,98,100,3.42,overcast clouds
45,Boden,SE,65.8252,21.6886,5.0,95,13,4.63,few clouds
46,Qaanaaq,GL,77.484,-69.3632,-7.42,68,100,6.53,overcast clouds
47,Grand Island,US,40.925,-98.342,54.55,23,0,13.8,clear sky
48,Mataura,NZ,-46.1927,168.8643,71.47,54,49,2.42,scattered clouds
49,Banff,CA,51.1762,-115.5698,40.23,55,92,8.05,overcast clouds
50,Fortuna,US,40.5982,-124.1573,59.18,80,0,6.91,clear sky
51,Kodiak,US,57.79,-152.4072,27.91,64,0,11.5,clear sky
52,Moron,AR,-34.6534,-58.6198,81.99,56,0,4.0,clear sky
53,Bambous Virieux,MU,-20.3428,57.7575,79.05,94,75,9.22,light rain
54,Harnai,PK,30.1005,67.9374,53.49,42,0,4.72,clear sky
55,Upernavik,GL,72.7868,-56.1549,-4.59,97,100,2.73,overcast clouds
56,Maldonado,UY,-34.6667,-54.9167,76.39,71,1,7.85,clear sky
57,Saskylakh,RU,71.9167,114.0833,-21.86,100,99,2.68,overcast clouds
58,Weihai,CN,37.5017,122.1136,33.51,59,22,10.96,few clouds
59,Pangnirtung,CA,66.1451,-65.7125,-21.42,83,90,5.84,overcast clouds
60,Yellowknife,CA,62.456,-114.3525,-6.45,81,75,6.91,light snow
61,Kampot,KH,10.6167,104.1833,75.25,87,73,5.23,broken clouds
62,Saint George,US,37.1041,-113.5841,63.07,16,0,1.01,clear sky
63,Hasaki,JP,35.7333,140.8333,37.8,46,100,16.46,overcast clouds
64,Sambava,MG,-14.2667,50.1667,75.38,89,57,8.19,broken clouds
65,Samarai,PG,-10.6167,150.6667,83.7,70,100,11.79,overcast clouds
66,Constitucion,CL,-35.3333,-72.4167,59.83,76,4,16.64,clear sky
67,Korla,CN,41.7597,86.1469,23.58,57,100,4.12,overcast clouds
68,Skjervoy,NO,70.0311,20.9714,28.54,63,80,8.21,broken clouds
69,Thompson,CA,55.7435,-97.8558,3.36,78,20,4.61,few clouds
70,Kaspiyskiy,RU,45.3929,47.3707,34.81,85,55,5.7,broken clouds
71,Black River,JM,18.0264,-77.8487,73.4,81,67,9.17,broken clouds
72,Port Alfred,ZA,-33.5906,26.891,73.15,90,98,16.35,overcast clouds
73,Sorland,NO,67.667,12.6934,34.02,46,81,5.46,broken clouds
