City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Am Timan,11.0297,20.2827,66.43,24,99,7.54,TD,2022-01-27 04:32:20
1,Ust-Kan,50.9276,84.761,7.21,83,97,3.0,RU,2022-01-27 04:32:20
2,Upernavik,72.7868,-56.1549,1.49,84,100,3.71,GL,2022-01-27 04:32:20
3,Novobelokatay,55.7062,58.9549,16.88,91,100,14.23,RU,2022-01-27 04:32:21
4,Shache,38.4167,77.2406,31.86,36,0,1.39,CN,2022-01-27 04:32:21
5,Altay,47.8667,88.1167,10.47,74,100,2.46,CN,2022-01-27 04:32:21
6,Yellowknife,62.456,-114.3525,4.41,89,100,4.61,CA,2022-01-27 04:32:22
7,Namibe,-15.1961,12.1522,75.45,83,100,1.48,AO,2022-01-27 04:32:22
8,Katsuura,35.1333,140.3,54.19,57,100,9.08,JP,2022-01-27 04:32:22
9,Bhaderwah,32.9784,75.7186,37.35,72,4,1.68,IN,2022-01-27 04:32:23
10,Jamestown,42.097,-79.2353,7.72,85,0,6.91,US,2022-01-27 04:31:25
11,Tiksi,71.6872,128.8694,-0.15,87,64,15.46,RU,2022-01-27 04:28:45
12,Rikitea,-23.1203,-134.9692,78.22,79,4,18.07,PF,2022-01-27 04:29:54
13,Qaanaaq,77.484,-69.3632,-8.34,59,73,9.33,GL,2022-01-27 04:28:34
14,Dalby,-27.1833,151.2667,86.99,46,97,3.0,AU,2022-01-27 04:32:24
15,Bredasdorp,-34.5322,20.0403,63.28,94,39,4.61,ZA,2022-01-27 04:32:24
16,Digras,20.1167,77.7167,66.72,32,0,8.59,IN,2022-01-27 04:32:24
17,Lata,40.1629,-8.3327,48.06,77,54,5.5,PT,2022-01-27 04:32:25
18,Castro,-24.7911,-50.0119,65.41,92,85,3.09,BR,2022-01-27 04:32:16
19,Kavieng,-2.5744,150.7967,83.84,73,83,6.46,PG,2022-01-27 04:32:25
20,Mitsamiouli,-11.3847,43.2844,80.89,74,75,5.75,KM,2022-01-27 04:32:25
21,Puerto Ayora,-0.7393,-90.3518,72.97,91,97,5.88,EC,2022-01-27 04:32:26
22,Asau,46.4333,26.4,27.52,86,91,6.87,RO,2022-01-27 04:32:26
23,Kaeo,-35.1,173.7833,79.32,54,0,1.39,NZ,2022-01-27 04:32:27
24,Mataura,-46.1927,168.8643,57.47,41,44,7.96,NZ,2022-01-27 04:28:41
25,Valparaiso,-33.0393,-71.6273,59.92,77,0,4.61,CL,2022-01-27 04:27:47
26,Ushuaia,-54.8,-68.3,46.67,96,100,3.04,AR,2022-01-27 04:32:27
27,Lebu,-37.6167,-73.65,57.29,92,4,8.68,CL,2022-01-27 04:32:27
28,Hobart,-42.8794,147.3294,78.03,58,75,1.99,AU,2022-01-27 04:31:52
29,Broome,42.2506,-75.833,6.53,79,11,1.01,US,2022-01-27 04:32:28
30,East London,-33.0153,27.9116,72.54,100,100,2.3,ZA,2022-01-27 04:30:41
31,Tautira,-17.7333,-149.15,84.22,78,36,15.97,PF,2022-01-27 04:32:28
32,Saint-Philippe,-21.3585,55.7679,78.35,60,14,7.38,RE,2022-01-27 04:32:29
33,Bethel,41.3712,-73.414,19.56,65,0,0.0,US,2022-01-27 04:31:00
34,Karratha,-20.7377,116.8463,90.23,45,1,19.46,AU,2022-01-27 04:32:29
35,Vangaindrano,-23.35,47.6,75.47,79,86,4.41,MG,2022-01-27 04:32:30
36,Pisco,-13.7,-76.2167,69.85,73,0,13.8,PE,2022-01-27 04:32:30
37,Hasaki,35.7333,140.8333,53.82,48,95,9.22,JP,2022-01-27 04:32:30
38,Cidreira,-30.1811,-50.2056,74.66,95,100,6.29,BR,2022-01-27 04:32:31
39,Lishu,43.3047,124.3278,17.17,45,5,5.99,CN,2022-01-27 04:32:31
40,Cabo Rojo,18.0866,-67.1457,73.67,84,34,4.81,PR,2022-01-27 04:32:31
41,Butaritari,3.0707,172.7902,82.15,77,16,13.31,KI,2022-01-27 04:29:55
42,Wagar,16.1525,36.2032,70.12,72,57,19.66,SD,2022-01-27 04:32:32
43,Bluff,-46.6,168.3333,57.79,61,68,10.8,NZ,2022-01-27 04:32:32
44,Santo Angelo,-28.2992,-54.2631,75.52,94,0,3.44,BR,2022-01-27 04:32:33
45,Port Elizabeth,-33.918,25.5701,66.49,100,100,8.05,ZA,2022-01-27 04:32:34
46,Khatanga,71.9667,102.5,1.81,85,100,13.87,RU,2022-01-27 04:32:23
47,Busselton,-33.65,115.3333,78.04,36,0,6.26,AU,2022-01-27 04:32:34
48,Sitka,57.0531,-135.33,35.49,80,0,8.05,US,2022-01-27 04:32:41
49,High Level,58.5169,-117.136,7.25,98,59,2.33,CA,2022-01-27 04:30:14
50,Oksfjord,70.2396,22.3479,27.52,90,100,1.72,NO,2022-01-27 04:32:41
51,Dingle,10.9995,122.6711,86.4,69,95,9.64,PH,2022-01-27 04:32:42
52,Bambous Virieux,-20.3428,57.7575,81.21,73,40,8.05,MU,2022-01-27 04:32:42
53,Winburg,-28.518,27.0093,66.11,63,100,7.54,ZA,2022-01-27 04:32:43
54,Inhambane,-23.865,35.3833,80.38,80,89,9.93,MZ,2022-01-27 04:32:43
55,Vaini,-21.2,-175.2,86.16,84,20,6.91,TO,2022-01-27 04:28:45
56,Pederneiras,-22.3517,-48.775,73.47,91,81,3.53,BR,2022-01-27 04:32:44
57,Aguimes,27.9054,-15.4461,57.83,77,75,6.91,ES,2022-01-27 04:32:45
58,Bainbridge,47.6262,-122.5212,37.76,89,100,1.99,US,2022-01-27 04:32:45
59,Nanfeng,23.7434,111.7959,78.06,56,42,4.72,CN,2022-01-27 04:32:46
60,Olafsvik,64.8945,-23.7142,34.79,65,100,10.13,IS,2022-01-27 04:32:46
61,Chokurdakh,70.6333,147.9167,-27.08,95,32,12.75,RU,2022-01-27 04:32:46
62,Bubaque,11.2833,-15.8333,78.15,62,84,5.48,GW,2022-01-27 04:32:47
63,Tuktoyaktuk,69.4541,-133.0374,-9.4,77,0,16.11,CA,2022-01-27 04:32:47
64,Ust-Koksa,50.2696,85.6108,10.9,91,100,1.43,RU,2022-01-27 04:32:47
65,Siocon,7.7061,122.1353,87.51,64,27,8.34,PH,2022-01-27 04:32:48
66,Hermanus,-34.4187,19.2345,64.9,83,25,9.4,ZA,2022-01-27 04:32:48
67,Kaili,-3.4626,120.2147,79.41,71,100,3.42,ID,2022-01-27 04:32:49
